event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480060,true,2012-10-05 15:39:02.000,-82.41582,28.06167,1.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480061,true,2012-10-05 15:40:08.000,-82.41581,28.06154,2.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480062,true,2012-10-05 15:44:10.000,-82.41579,28.06184,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480063,true,2012-10-05 15:48:12.000,-82.41748,28.0617,2.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480064,true,2012-10-05 15:52:15.000,-82.41833,28.06157,2.1,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480065,true,2012-10-05 15:56:08.000,-82.41818,28.06176,1.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480066,true,2012-10-05 16:00:10.000,-82.41818,28.06162,1.8,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480067,true,2012-10-05 16:16:13.000,-82.41859,28.06186,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480068,true,2012-10-05 16:20:33.000,-82.41866,28.06211,1.6,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480069,true,2012-10-05 16:24:10.000,-82.41855,28.06225,1.9,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480070,true,2012-10-05 16:28:11.000,-82.41816,28.06219,1.4,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480071,true,2012-10-05 16:32:07.000,-82.41805,28.06224,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
